username,text,likes,datetime
username,"Desainnya keren min, milenial banget 👍",0,2019-03-30
username,Happy Birthday 🥳 pak @username sehat dan diberkati selalu 🙏,1,2019-03-30
username,"Semangat kak, kami doakan semoga ig nya tambah bermanfaat, follow ig kami juga ya kak",0,2019-03-30
username,Selamat ulang tahun pak @username 💕 semoga selalu diberikan berkah dalam memimpin Semarang,1,2019-03-30
username,😍😍😍😍😍,1,2019-04-01
username,Salam #MotionForHealth 🚴🏻‍♂️⛹🏾‍♀️🚴🏻‍♀️🏃🏾🚶🏻‍♀️,1,2019-04-01
username,Semarang apakah ada vaksin rabies gratis...? Suwun,1,2019-04-01
username,👍🏻👍🏻👍🏻,1,2019-04-01
username,😍,1,2019-04-01
username,Follback,0,2019-04-08
username,"Assalamualikum, apakah dkk semarang setiap tahun membuka lowongan untuk perawat? Untuk ditempatkan di puskesmas2 atau di kantor dkk. Terimakasih",0,2019-04-10
username,Ingat Jumat bersih sis @username,0,2019-04-11
username,Ayookk test @username @username @username @username @username @username @username,0,2019-04-16
username,Puskesmas Tlogosari kulon belum ada...mau bgt...,0,2019-04-16
username,biayanya brp min?,1,2019-04-16
username,Asik! Dinkes kota semarang makin HEBAAAT apalagi punya BPJS atau UHC jdi ter-cover semua termasuk tes IVA 🤗,2,2019-04-16
username,Kl dari daerah tlogosari apa bisa di puskesmas yg sudah disebutkan?,0,2019-04-17
username,🤣🤣🤣👍🏻👍🏻🙈,1,2019-04-22
username,😄😄seruu,1,2019-04-22
username,www.daihatsusemarang.org,0,2019-04-23
username,Semarang emang hebat,0,2019-04-24
username,Kerenn 👍👍👍👍,1,2019-04-24
username,👍 sdh saya rasakan manfaat nya suwum,1,2019-04-25
username,@username @username,0,2019-04-26
username,"Nice photo, tidak perlu lagi kata-kata, saya hanya ingin mengatakannya 😍👌",1,2019-05-01
username,"Sek sek sek, perencanaan kok gag ono ? 😂😭",1,2019-05-02
username,wis tak batin p2ml sg muncul pertama mas dhani terus Mbak @username,2,2019-05-02
username,Min kok aku nggak keliatan min 😂,2,2019-05-02
username,"Info wisata semarang, visit kami ya :)",0,2019-05-03
username,Mimin ter loveee banget pokoknya,0,2019-05-03
username,Penarinya cantik cantik ya 😍,0,2019-05-03
username,Hbd kotaku tercintaaaaa 😘😘,0,2019-05-03
username,Mohon dibantu yaa like dan comment nya Gl/goodluck untuk hastag #lavasa15dewasa07 terimakasih..smoga rejekinya slalu dimudahkan..aminn,0,2019-05-03
username,adminnya dkksemarang keren bgt deh 😍🌸,1,2019-05-03
username,"@username Selamat ulang tahun ibu Ita semoga panjang umur, tetap sehat dan bahagia bersama kekuarga",1,2019-05-04
username,Miminnya OKE punya gemessss,0,2019-05-04
username,Typo min,1,2019-05-07
username,Labkes sekalian min 👆👆,0,2019-05-07
username,Puskesmasnya yg di dkk apa semua puskesmas di smrg min ?,0,2019-05-07
username,Wahh enak banget puskesmasny cuma buka 4 jam,0,2019-05-08
username,Trims atas pelayananya semua yg terkait. 🙏,0,2019-05-08
username,Mimin juga semangat ya min ❤️,0,2019-05-14
username,"Bagus kakk, Jangan Lupa Untuk Cek Koleksi Kami. 😊🙏 Terimakasih",0,2019-05-15
username,"Setiap hari buka puasa bersama keluarga min, yg belum buka bersama keluarga nya dia",0,2019-05-15
username,"Jaga kesehatan min , kalau buka jangan pembalasan😅",0,2019-05-15
username,Izin repost yah min,0,2019-05-17
username,Itu cukup bagus. Sebenarnya saya pikir foto-foto terbaru Anda sangat bagus. Saya akan menunggu foto Anda berikutnya 😊✋,1,2019-05-18
username,Minn puskesmas libur ga saat lebaran ?,0,2019-05-24
username,😘😘😘,0,2019-05-29
username,aku juga mau dbuatin pantun min,0,2019-06-03
username,Menerima jasa pembuatan pantun ucapan selamat malam min 😁,0,2019-06-03
username,Niceeeeee!,0,2019-06-04
username,Niceeeeee!,0,2019-06-04
username,pak.bagi yg sakit masuk ugd ngurus uhc ada yg piket pak?,0,2019-06-05
username,"Makasih minkes info, tp susah klo gak makan nasi putih sama gak ngemil 🤣🤣",0,2019-06-11
username,Tips buat kita banget gais @username @username @username,0,2019-06-11
username,Halal bihalal sudah trs ngeHalalin kamu kpn min .....eeeaaaaa😂😅,0,2019-06-11
username,Kalau ngurus syarat nya pa ja BPJS pribadi aq udh aq transfer lg mohon petunjuk nya... !!🙏,0,2019-06-21
username,Kriteria penduduk semarang yang dapat masuk ke program uhc kota semarang : penduduk yg belum jadi peserta jkn dan mau didaftarkan sbg peserta jkn bpjs kelas 3. Peserta pengalihan dari mandiri karena tidak mampu membayar iuran (menunggak) dengan ketentuan tunggakan tetap menjadi tanggungan peserta.,1,2019-06-21
username,Mksud selama aq bayar BPJS pribadi bayar di bank aq transfer ke Indomaret.trus Q tanya persyaratan gmn supaya aq dapat UHC.aq ikut kls 3,0,2019-06-21
username,Untuk ibu hamil aman gak?,0,2019-06-24
username,@username,0,2019-06-24
username,"@username ngganggone kencur, ora jahe",0,2019-06-26
username,Terima kasih bapak @username 👏🙏😎,0,2019-06-28
username,@username,0,2019-06-28
username,👏👏👏,0,2019-06-28
username,❤️,0,2019-06-29
username,❤️,0,2019-06-30
username,Cr menggunakan layanan pustaka gmn min ?,0,2019-07-01
username,Mau tanya apakah imunisasi untuk balita di puskesmas sudah tidak boleh?,0,2019-07-02
username,Info PUSTAKA di puskesmas Kedungmundu dong,1,2019-07-02
username,"Salam Cah semarang, jangan lupa selalu promosikan kota tercinta",1,2019-07-02
username,@username,0,2019-07-02
username,Untuk semua puskesmas di semarang kah ini ? Atau hanya khusus di dkk ? Mohon pencerahannya 🙏,0,2019-07-02
username,Efektif per kapan ya min jdwal baru ini? @username,0,2019-07-02
username,Min @username mau tanya utk test HIV gratis ada di puskesmas mana ya? Misal bukan warga domisili dekat puskesmas tsb apakah boleh? Thanks min,0,2019-07-03
username,Apa di puskesmas kedungmundu sudah efektif dengan jadwal baru? Karna saya lihat di IGnya masih sampai jam 12 siang @username,0,2019-07-03
username,👍👍,1,2019-07-04
username,Matur suwun @username @username,1,2019-07-04
username,Minkes mana kok nggak keliatan dadah dadahnya?,0,2019-07-04
username,Wah lebih bahaya daripada mama minta pulsa ya min :(,0,2019-07-09
username,Hantam hoax 👊,1,2019-07-09
username,"Terima kasih infonya min🙏, btw itu uang buat beli cendol dawet min😂",1,2019-07-09
username,Itu SMS hoax dr jaman kpn masih aja disebar.. 😢 dulu banyak yg dpt itu min..,0,2019-07-10
username,Pokok e kerja...kerja..kerja..untuk semarang semakin hebat...,1,2019-07-14
username,"Mantab, semangat bergerak bersama #semaranghebat",1,2019-07-14
username,👍,1,2019-07-14
username,Kalo aku sakit hati karena nggak dilamar-lamar min 😭,0,2019-07-14
username,Beritanya aja janggal .pastinya hoax.klo pinter pasti tau kejanggalan nya,0,2019-07-18
username,Selamat @username,0,2019-07-18
username,👏,0,2019-07-18
username,Laporkan penyebar hoax minkes,0,2019-07-18
username,"Mohon bantuannya pak/ibu @username nenek saya dlu beli rumah tidak ada surat""nya cuma bermodalkan saling percaya saja..tp ini denger isu ktanya mau di robohkan karna mengganggu jalan..mohon arahannya agar bisa di uruskan surat"" kepemilikan rumah",1,2019-07-18
username,Mantap dan joss gandos @username,0,2019-07-18
username,@username mas mbung 😅👆🏻,0,2019-07-18
username,amazing #stayfitforlife,1,2019-07-18
username,Kerja keras...kerja cerdas..untuk semarang semakin hebat,1,2019-07-18
username,Mantul tenan DKK emang,1,2019-07-18
username,@username selamat Berburu,1,2019-07-21
username,"Siap min, tadi pagi sudah ada penyuluhan di pkk kampung saya min 😊",0,2019-07-21
username,"Aku kemarin dpt 1 werok, udah mati.",0,2019-07-21
username,Ternyata hanya di bp aja yg sampe jam 4..huhuu..g jadi imunisasi dehh,0,2019-07-22
username,saya coba pakai lem dan racun tikus kok ga mempan ya pak? kira² cara yg ampuh gmn ya? @username,1,2019-07-22
username,Sendiko pak kadin..,0,2019-07-23
username,Yang pasti Alhamdulillah ... Pernah jd anak2 lah min...dg masa kecil penuh Ceriaa dan bahagia bingitz ... Ora mikir butuh hihihi...,1,2019-07-23
username,@username 3 hari pake jebakan lem total 9 tikusss lur .,0,2019-07-24
username,Awesome 👍🏻,1,2019-07-27
username,👍👍👍 Syukron info nya sangat bermanfaat 😍,1,2019-07-28
username,"Parkir mobilnya 5 lantai , buat karyawan apa umum min",1,2019-07-29
username,"Alhamdulillah smoga bangunannya kuat kokoh berdiri..ngeri klo tinggi pondasi g kuat, Usul min pengelolaan parkir nya buat karyawan bs murah dan di jamin dpt tempat yaa tdk berebut dg yg lain agar pelayanan berjalan dengan lancar memuaskan.... #Barakaallah untuk DKK Semarang",2,2019-07-29
username,"Keren min, semoga bisa segera jadi ya",0,2019-07-29
username,👍👍 Setuju banget siaap dukung ... Insyaa Allah Semarang berjaya 😍,0,2019-07-29
username,Ada loker ga minn di DKK 😁 info minn...,0,2019-07-29
username,Barakallah mbak @username 😍👍,1,2019-07-30
username,@username @username @username @username kalin menang mas😅,1,2019-07-30
username,SELAMAT ALINN😍@username 🔥🔥💖💖,0,2019-07-30
username,@username,0,2019-07-30
username,proud of you alinnn❤️😭 @username,1,2019-07-30
username,"Kurang t min, ""selamat""",1,2019-07-30
username,@username barakallah dokter terbaik Yang pernah ku jumpai. 👍👍,0,2019-07-30
username,Selamatt UwU❤️❤️,1,2019-07-30
username,Alhamdulilah ya alin,1,2019-07-30
username,Alhamdulillah.... selamat Alin. 👍👍👍,1,2019-07-30
username,@username,1,2019-07-30
username,Alhamdulillah congrats💕 proud of u sisturrr @username,1,2019-07-30
username,"Kalo imunisasi / periksa tht min,, boleh di puskesmas mana saja?",0,2019-07-31
username,👍👍👍😍😍😍,0,2019-08-01
username,@username 😍,0,2019-08-01
username,Terimakasih buat @username udah gabung.. alhamdulillah banyak yg donor,1,2019-08-01
username,Kern min... Eh ada yg nangis eNgga yaa saat di nJuuz ambil darah hihihi.... Penasaran aja 😆,0,2019-08-01
username,Hadir bu mimin...share videonya donk,1,2019-08-01
username,ada bapak @username 😊😊 sukses di tempat baru bapak.. semoga amanah,2,2019-08-01
username,Smoga dimudahkan Allah untuk amanah pekerjaannya Aamiin3xYra,1,2019-08-01
username,Kena crop 🤣🤣🤣,0,2019-08-02
username,Juwoos pokoknya.....,0,2019-08-02
username,Kamu di mana cinta @username,0,2019-08-03
username,Semangat buk @username,0,2019-08-05
username,😍👍Setuju bu Tia...,2,2019-08-07
username,Mantab bu 👍,1,2019-08-07
username,👏👏👏,0,2019-08-07
username,👏👏👏👏❤️,0,2019-08-07
username,👏👏👏👏👏,0,2019-08-07
username,🙇🙇🙇🙇🙇🙇,1,2019-08-08
username,Smoga Idul adha tahun ini mjdkan iman dan taqwa kita semua semakin kuat dan amal ibadah kita mendapat Ridho dan pahala surga dari Allah subkhanawata'ala... #Allahuma Aamin,1,2019-08-10
username,Klo mau daftar uhc antrinya bisa inden dlu ndak ya?,0,2019-08-12
username,Salam pramuka,0,2019-08-14
username,😍😍😍😍,1,2019-08-16
username,Merdeka 🤩😘,0,2019-08-16
username,😍😍😍😍😍,1,2019-08-16
username,min @username ada info loker gak min,1,2019-08-17
username,Kereeen min. Merdekaaa!!! 🇲🇨💪🏻,0,2019-08-17
username,Mantengin minkes @username terus 😊,0,2019-08-17
username,Indonesia blom seluruhnya maju utamanya dlm pelayanan kesehatan yg blom merata di tiap2 daerah... Ayo semangat kita berupaya untuk mengisi kemerdekaan ini untuk Kemajuan Pelayanan Kesehatan yang berdaulat #Jaya Negriku Indonesia 😍,0,2019-08-17
username,Mantab nih ada tes buta warna @username @username @username,0,2019-08-19
username,Jawaban yg salah 1 😄,0,2019-08-19
username,Udah mimin minkes @username 😊,0,2019-08-19
username,❤️❤️❤️juozzz,0,2019-08-20
username,Kita sudah nyobain tes ini minkes,0,2019-08-20
username,Nilainya 90% min @username 😊,0,2019-08-22
username,"👍 Tidak perlu ragu dan galau ttg vaksinnya....tetap Original lho, tdk pake palsu... dan yg nyuntik bu dokter tdk pake sakit... 😍",1,2019-08-27
username,"Maaf min mau bertanya, apakah mendaftar UHC harus punya KTP? Suwun 🙏",0,2019-09-03
username,"Satu lagi min, kolam renang yg ramah anak 😊",0,2019-09-09
username,"Woow ada aku jd artis 😍😍 tnks ilmunya, ijin kita copas ya, demi cegah stunting itu penting 😐",0,2019-09-09
username,Sampai kapan yaa ?,0,2019-09-11
username,Mantap lur💕,1,2019-09-14
username,#DKKKEREN SHAYYYYY 💝💝💝,1,2019-09-14
username,♥️♥️♥️,1,2019-09-14
username,Bener lur pasien sembuh spontan saat ketemu bu dokter nya lhoo 😍.... Aq saksi nya lhooo... Hihihi... Blom juga obat di minum.... 😂,2,2019-09-14
username,#semaranghebat,1,2019-09-14
username,@username Asik artis😀😀😀,4,2019-09-14
username,Puskesmas 5G Mantabb👍👍,1,2019-09-14
username,Lhaa... Ada adek syantik panutanku yg multitalent jd atlet bisa jd artis juga bisa😀 @username,2,2019-09-14
username,👍👍👍👍👍👏👏👏👏👏😍😍😍😍😍🙏🙏🙏🙏🙏,0,2019-09-15
username,Kalo hari minggu ada puskes yang buka tidak ya min? Utk pelayanan poli gigi,0,2019-09-15
username,@username min nanya di dinas kesehatan adakah info loker/magang?,0,2019-09-18
username,@username idolaku 😍,0,2019-09-23
username,@username krudung hijau min😂,0,2019-09-24
username,🙏🏻,0,2019-09-25
username,Selamat hari kamu😊 @username,0,2019-09-25
username,Malam Min mau tanya digedung baru dkk ada kantin/pujasera makanannya gk.klw ada! bisakah nyewa tempat disitu?.mohon informasi nya.trima kasih,0,2019-10-02
username,"halo lur, tetap sehat dan semangat ya. Besok udah hari Minggu, libur untuk yg kerja, kuliah dan sekolah. . Kalau libur jangan lupa olahraga ya, tetep GERMAS juga. . Kalau badan udah berasa nggak enak, langsung cek kesehatan di Puskesmas ajaaahh. . Sekarang Puskesmas punya layanan 5G. Nah, nonton video ini sampai selesai ya biar tahu apa itu Puskesmas 5G. . Minkes kedatangan tamu istimewa @username dan @username dari @username yang penasaran dengan Puskesmas 5G. . Mereka aja periksanya ke Puskesmas Lur, masak kamu enggak.",0,2019-10-05
username,"Mau lapor dong min. Tolong sistem pelayanan di loketnya diperbaiki, masak pengambilan uhc yang sudah jadi harus jadi satu antrean dengan peserta yang baru mendaftar baik itu baru mendaftar atau pindahan dari BPJS. Jadi terkesan rancu dan urutan antrean lama sekali. Kasian juga yang udah tua tua antri. Setidaknya diberlakukan pembagian loket yang jelas. Jangan karena lokasi kantor pindah sementara , pelayanan jadi kurang maksimal 🙏.",0,2019-10-07
username,Selamat pagi admin mau ty...krt UHC anak saya hilang bagaimana cara mengurusnya?terimakasih..,0,2019-10-09
username,Unt pendaftaran UHC bisakah mll puskesmas terdekat atw hrs dtg lgs ke DKK kota Smg? TQ..🙏,0,2019-10-21
username,Semoga husnul khotimah. Aamiin ya Robb,0,2019-10-22
username,Innalillahi wa innalillahirojiun..semoga khusnul qotimah dan keluarga yang dtinggalkan semoga dberi ketabahan dan keikhlasan..aaamin🤲😇,0,2019-10-22
username,Innalilahi wa innailaihirrojiun. Semoga Bu ides Husnul khatimah. 🤲 Aamiin.,0,2019-10-22
username,"Turut Berbelasungkawa, Semoga Alm. Di terima di Sisi Allah SWT",0,2019-10-22
username,Innalilahi wa innailaihi rojiun,1,2019-10-22
username,semoga almh mbak Ides Husnul Khotimah..diampuni sgl dosanya dan diterima amalnya..Aamiin,1,2019-10-22
username,Aamiin....yaa Robb...,1,2019-10-22
username,"Aamiin, 🙏",0,2019-10-22
username,Innalilahi wa innalillahi rojiun ..semoga khusnul hotimah ..🤗,1,2019-10-22
username,"turut berduka cita, semoga beliau husnul khotimah, keluarga yang ditinggalkan diberi ketabahan dan keikhlasan, aamiin",0,2019-10-22
username,Innalillahi wa inna ilaihi raajiun. Semoga husnul khotimah. Diampuni segala dosanya diterima amal ibadahnya serta mendapatkan rahmat Allah SWT.,0,2019-10-22
username,Semoga beliau husnul khotimah....,0,2019-10-22
username,Aamin ya robb😍😪,1,2019-10-22
username,"Innalilahi wa Inna ilaihi Raajiun, semoga Husnul khotimah.aamiin",0,2019-10-22
username,Selamat jln mbak Idesty,1,2019-10-22
username,selamat jalan mb Ides Allah lebih menyayangmu.. insyaAllah husnul khatimah.. Aamiin,0,2019-10-22
username,Msh lekat dlm ingatan ... senyum tulusnya ... hobi berdagang dan suka menyambung silaturohmi ...,0,2019-10-22
username,Saat lebaran disaat org buka lapak bazar mencari untung mB I ... mlh memberi souvenir al ma'tsurat utk setiap pembelinya 😭😭😭,1,2019-10-22
username,"Semoga husnul khotimah, diberi tempat terindah disisi ALLAH SWT",0,2019-10-22
username,@username @username @username,1,2019-10-24
username,@username @username @username @username,0,2019-10-24
username,@username @username @username @username @username,1,2019-10-24
username,@username,1,2019-10-24
username,@username selamat hari dokter,1,2019-10-25
username,"Aamiin YRA, insya allah beliau husnul khotimah",0,2019-10-25
username,Kami tunggu kinerjanya tuan @username 🙏,0,2019-10-26
username,#jatengGayeng,1,2019-10-30
username,"Pak minta tlng layanan puskesmas halmahera tlng di benahi saya sudah antri dari pagi gak di panggil"" malah di blok ama antrian lain kasihan anak saya gak jdi imunisasi,,,matur suwun",0,2019-10-30
username,Verified 👏👏👏👏❤️,0,2019-11-02
username,Mohon info rumah gizi ini seperti TFC bgtu? Ranap bagi gizi buruk?,0,2019-11-02
username,Bisa kak ke @username,0,2019-11-03
username,Bisa melayani uji kelayakan air minum?,0,2019-11-03
username,bisa ke kami kak. Info lebih lanjut bisa hubungi 024 3545020 @username,1,2019-11-04
username,Luar biasa,0,2019-11-04
username,👍👍,0,2019-11-08
username,Waras wargane.. Sehat kuthone..,0,2019-11-20
username,Dkk SMG ap Sabtu libur,0,2019-11-21
username,*wargane,0,2019-11-21
username,Alhamdulillah luar biasa 👏,0,2019-11-21
username,Mas Min..utk prosedur mengurus PIRT bisa tanya kemana nggih ?,0,2019-11-25
username,Mas Min..adakah unit/kelompok yg dikelola oleh dinkes utk obesitas ?,0,2019-11-25
username,Jangan lupa membahagiakan diri sendiri minkes😁,0,2019-11-30
username,"@username @username @username @username @username @username ingat!!! Kmren Hari AIDS Sedunia,, so jangan main² yg ngk jelas yaa....🤪",1,2019-12-02
username,kreatif sekali tim minkes 😍😍😍,1,2019-12-05
username,👍,1,2019-12-05
username,"Don't forget send Minkes magazine for my public service health care Pandanaran ,right....😍👍",0,2019-12-05
username,"Yuhuu, Minkes gituloohh 😁😁🙏",0,2019-12-05
username,Selamat ya MinKes. Seneng deh sm inovasi2nya Dinkes. Bangga akutu jd warga Semarang. Bisa didapetin dmn nih majalahnya min?,0,2019-12-06
username,👍,0,2019-12-06
username,Kereennn 👏👏👏,0,2019-12-06
username,Asyikk...di majalah itu Minkes jadi model majalah nya kah? Penasaran deh sama Minkes yang kece badai 😍,0,2019-12-07
username,Wooow keluarga minkes kenalan duunkkk.. penasaraan lho.. keluarga minkes itu apakah jarang sakit alias sehat terus kah? Atao dokter semua? Atao semua nya tenaga kesehatan? 😁 Teruskan inovasimuu kak minkes... selamat mendunia Minkes Magazine 💕,0,2019-12-09
username,"Min,klu mau pindah dr BPJS mandiri ke UHC gimana caranya @username ?",1,2019-12-09
username,@username @username @username @username #SemarangKotaSehat 😎,0,2019-12-13
username,Syarat yg dibawa apa sja untuk mengurus UHC agar lengkap menyiapkan dokumennya @username,0,2019-12-16
username,👍 Smoga Allah lindungi Bp.Makruf Amin di beri kesehatan spt balita posyandu kita yg sehat imut menggemaskan ...,1,2019-12-16
username,Salam semarang hebat 👍👍👍,0,2019-12-19
username,Betul sekali Puskesmas pandanaran siaaap melayani sepenuh hati....😊👩‍⚕️,2,2019-12-23
username,"Mimin jg tangguh, alhamdulillah minkes selalu fokus tdk keliru colek @username😁",0,2019-12-23
username,Alhamdulillah ga kena crop sama minkes.. 🤭,0,2019-12-23
username,Tapi kok di lamper tgh jam pelayanan sampe jam 12 ya min? Apa emang kebijakan masing2 puskesmas?,0,2019-12-23
username,Alhamdulillah langsing... Terima kasih mbk mimin minkes🙏🙏😍😍😍,1,2019-12-23
username,Hahahaha 😂👍👍👍,1,2019-12-24
username,"Kita mo diajak ke menara paris, asyek..",0,2019-12-24
username,"Puskesmasnya buka , DKK nya juga buka dong, biar merasakan juga tidak libur saat yg lain bisa libur.",1,2019-12-24
username,Puskesmas Pudakpayung Terakreditasi Paripurna...Yessss..Insya Allah,2,2020-01-02
username,Mimin @username favorit😍,0,2020-01-04
username,RSUD nya alamat e dmn ya?,0,2020-01-04
username,"Pak, anak saya mau vaksin ipv gagal terus. Kata petugas puskesmasnya vaksinnya sedang kosong dr pusat. Mohon di adakan ya pak. Terimakasih",1,2020-01-05
username,Salam..Saya ngurus UHC di Puskemas kog blum jadi2 y ..apa hrs langsung je DKK kh..Trimakasih,0,2020-01-05
username,@username mau tanya pak saya punya BPJS mandiri kelas 3 dan udah nunggak 2thn klo mau ikut uhc gmn nggeh?,0,2020-01-07
username,@username obat2an buat penyakit ini yaaa mas bucin,0,2020-01-09
username,Semoga warga semarang sehat selalu,1,2020-01-09
username,@username,0,2020-01-10
username,Alhamdulillah,0,2020-01-10
