text,label,username,likes,datetime
pudak payung naik lagi 😭,negative,username83,1,2020-08-14
kalo yang turun banyak yang mati banyak brati ya? @username,neutral,username84,0,2020-10-03
"Itu data kemarin Kamis, la pdhl ini udah hari jumat min 😅😅",neutral,username85,1,2020-12-04
😢😢,neutral,username86,0,2021-05-31
"Masyarakat Kota Semarang menangis melihat data ini, karena tidak disiplin dan selalu kerumunan dimana-mana.?????? @username @username @username,",negative,username87,1,2021-06-12
Yooh ndang 0 kasus yohh... iso yoh isoo! 🙏,positive,username88,0,2020-09-21
😂😂😂😂😂😂keren walikotaq.... 😍😍😍😍,positive,username89,0,2020-08-05
@username nggo masker to ndeng nak belonjo ngarepan gang,positive,username90,0,2020-12-19
Horor kie mimin'e,neutral,username91,1,2020-09-24
Selamat kepada @username dan @username semoga amanah,positive,username92,0,2021-02-26
Dipasar pedurungan dong,positive,username93,0,2020-05-31
Jatisari kmu bisa,positive,username94,0,2020-08-25
Kalo diliat dari petanya rata2 kebanyakan yg parah itu daerah2 pnggiran. Mending yg daerah2 pinggiran itu lebih digencarkan lagi deh pengecekannya. Lebih sering aja dilakukan pemantauan karna aku juga liat masih banyak yg gak mematuhi protokol spt gak pake masker dan berkerumun. Itu aja sih saran dari aku,negative,username95,1,2020-11-28
Mimin @username bener tuh berita nya kalo Semarang jadi kota dengan kasus covid19 tertinggi di Indonesia ? Kata nya sampai 2rb an ? Benarkah itu ? Duh ayo dong pemerintah SMG lebih tegas lagi terhadap masyarakat yg melanggar peraturan covid19. Mungkin bisa di tiru cara Depok dan Bogor yg ada jam malam.,negative,username96,2,2020-09-01
Alhamdulillah sekarang udah ada perubahan. Yoh semangat tetap patuhi protokol kesehatan dimana pun berada,positive,username97,3,2020-07-22
"Yg manis itu bikin penyakit kambuh apa lagi klo sudah bikin janji manis waaahhhh bikin diabetes, lho min.... jangan lupa sahur lhooo",neutral,username98,0,2021-04-15
"Ndelok ng penontone euro min akeh sing gak gawe masker,",neutral,username99,1,2021-06-15
Alhamdulillah🤲,positive,username100,0,2020-11-26
"Data yg ener yg mana tho? Di siaga corona dah 1240 orang lho...lha kok selisih nya jauh bgt,",negative,username101,0,2021-06-11
"@username... met siang min, sy ada sepupu tunarungu aja boleh ikutan program ini ? Ybs namun tidak masuk dalam komunitas, organisasi. Anaknya introvert. Bila didampingi anggota keluarga atau kerabat bisa dapat vaksin juga gak ? Trims ??,",neutral,username102,0,2021-06-17
Naik turun kek harga susu,neutral,username103,0,2020-09-25
Besok jadi 400 ah. ❤️,positive,username104,1,2020-10-17
Alhamdulillaaaah pedurungan turun teruss😭😭😭,positive,username105,1,2020-09-20
"Mau beri masukan apa jadi bingung.. berdoa saja yang penting kita dan keluarga kita dijauhkan dari Covid19. Yang Sakit segera sembuh dan warga yang belum sadar akan pentingnya pakai masker, Sering cuci tangan, jaga jarak dan yg menyepelekan wabah ini segera diberikan kesadaran.",positive,username106,16,2020-07-13
Manyaran masih tertinggi 😭😭😭,negative,username107,0,2020-11-14
"yaAllaahhhhh????????,",negative,username108,0,2021-06-08
👍👍👍👍💪🇮🇩💪,positive,username109,0,2020-09-19
"wih,",negative,username110,0,2021-06-14
"Pripun niki pk @username,",neutral,username111,1,2021-06-04
Naik naik kepucak gunung tinggi tinggi sekali.. pemandangan e waow,negative,username112,1,2021-04-17
"Min mau nanya kan saya udah dijadwalkan vaksin di webnya tetapi saya baru tau setelah 2 hari kemudian, Kalo vaksinnya telat dari jadwal yg seharusnya boleh gak min? Makasih,",neutral,username113,0,2021-06-25
"Alhamdulillah turun ,turun turunnn, semangat pak kadisdkk dr@username hebaat.dan para staffnya.ayoo pak diagendakan pasien yg sembuh sembuh suruh cerita pengalaman, pencegahan, pengobatan,dan cara mrk yg sembuh shg bisa sembuh.shg ada menamba cerita positif.",positive,username114,0,2020-09-01
"Min, saya mau tanya untuk vaksin masyarakat umum kapan ya?",neutral,username115,0,2021-03-09
Kerja...kerja....kerja...Ayo Kerja....👍👍,positive,username116,0,2021-01-10
Wduh serem ih......,negative,username117,0,2020-11-05
"@username kenapa kl ditelp no 112 tidak ada yg angkat ?,",negative,username118,0,2021-06-25
"Kuning artinya apa,",neutral,username119,0,2021-06-08
Min @username jadwal umum kpn ya ? Rak sabar nunggu iq,neutral,username120,1,2021-03-17
"Alhamdulillah ,semoga terus makin membaik 😇",positive,username121,1,2020-06-13
"Lockdown2 ????,",negative,username122,0,2021-06-15
Bismillah dengan adanya informasi baru ada obat buat kesembuhan unt covid semoga dapat mengurangi jumlah pasien covid di semarang khususnya dan semoga tk kesadaran masy semarang unt kedisiplinan protokol kesehatan semakin tinggi....,positive,username123,0,2020-06-18
semoga terus menurun angka positif covidnya,positive,username124,0,2021-03-31
"Aktivitas semakin notmal, kesadaran masyarakat masih kurang, banyak terlihat tidak jaga jarak, salaman dan berkerumun",neutral,username125,3,2021-03-31
"Berarti sudah banyak relawan nakes yang mendaftar ya...mulia sekali....terima kasih untuk semua....semoga Tuhan melindungi dan memberkati kalian semua,",positive,username126,6,2021-06-17
Banyumanik riskan....😭😭,negative,username127,1,2020-09-07
Maleh nambah,negative,username128,1,2020-06-08
apa data tsb jg berlaku buat yg isoman ?,neutral,username129,0,2021-02-28
"❤️❤️❤️❤️ udah mau 15 bulan,tetep semangat menyusui karena si embul masih fullasi😊",neutral,username130,0,2020-08-04
"Alhamdulillah ya allah semoga ndang turun amin,",positive,username131,1,2021-06-23
Sendang Mulyo keren,positive,username132,0,2021-03-13
"SETIAP INDIVIDU WAJIB BERTANGGUNGJAWAB TERHADAP ORANG LAIN, DENGAN TIDAK IKUT MENULARKAN WABAH VIRUS CORONA-19. Kita semua harus sadar, mentaati, konsisten melaksanakan protokol kesehatan Covid-19.",positive,username133,2,2020-07-14
Waaah seru nih😍,neutral,username134,0,2020-10-04
makin sehat aja kamu mbak 😂,positive,username135,0,2020-05-12
Maaf mau tanya.. kalau jadwal vaksinasinya terlewat bagaimana? apakah msh bisa?,neutral,username136,0,2021-03-29
"Yah gimana, dilarang mudik, halal bihalal, reunian, tetep aja kumpul ??,",negative,username137,1,2021-06-07
Mijen putih bgt y ❤️❤️ sneneg ngeliatnq,positive,username138,1,2020-10-23
Yank @username ki,neutral,username139,0,2020-10-19
pasar karang ayu 3 org positif😢,negative,username140,0,2020-06-06
"Gegara covid, pelayanan salah satu tempat kesehatan sngt mengecewakan,",negative,username141,0,2020-06-15
Itu dah dijelasin selisih jauh beda aku percoyo nek semarang wae intine kui titik,negative,username142,0,2020-09-09
@username mohon dievaluasi lg pak jam malam mungkin diberlakukan lg. Kerumunan di kafe2 sudah jamak diliat skg. Ini sudah tertinggi,negative,username143,1,2020-11-30
Isin save min 😂,neutral,username144,0,2020-08-05
Amin 🙏🏻,positive,username145,1,2021-04-02
Dan saat ini saya masih suka kerokakan dibanding obat.......mriang losss ilang sembuh....,neutral,username146,3,2020-10-19
"????????,",negative,username147,2,2021-06-09
Yasudahlah penting jaga diri sendiri aja. Percuma ngasih tau ke mereka2 yg masih bandel. Nggak pernah terbiasa pake masker sih jd ya susah dibilangin.,negative,username148,2,2020-09-25
"Mau tanya min,apakah penurunan sprti ini masuk kategori smrg zona hitam",neutral,username149,1,2020-08-05
"Turun terus,banyak yang sembuh...amiiiiin",positive,username150,0,2020-08-04
"Mau tanya min, apakah nanti akan mendapatkan surat keterangan bebas covid semisal memang bebas covid?",neutral,username151,0,2020-08-14
"Kak boleh tanya ndak? Jadwal vaksi untuk masyarakat umun, usia di bawah 60 tahun kapan ya? Terimakasih @username,",neutral,username152,0,2021-06-08
"Kec. Tembalang, kel. Y datanya xx padahal di grup wa rt/rw datanya 48, 2x lebih dari data @username hati2 ya bapak/ ibu??",negative,username153,0,2021-06-20
5 hari kok naik 150 😢,neutral,username154,0,2021-06-01
Alhamdulillah makin menurun,positive,username155,0,2020-07-26
@username,neutral,username156,0,2020-06-15
"@username,",neutral,username157,1,2021-06-11
Klo dari semarang ke kendal ga boleh juga ?,neutral,username158,0,2021-04-29
Turut berdukacita .,neutral,username159,1,2021-01-21
Tembalang kenapa sendangmulyo lagi pemimpin klasemen nya ya min 😢,neutral,username160,0,2021-04-06
Penting ojolali datang ke TPS terdekat untuk coblosan tanggal 9 desember 2020. Coblosan tetap jalan ntah brapapun nambah angkanya wkwk keren kan 😂,negative,username161,0,2020-11-14
"Yg sdg sakit semoga lekas pulih, yg sehat ttp jaga kesehatan nggih.. semangat sehat,",positive,username162,14,2021-06-14
Semarang Barat cetak rekor..😱 Sptnya penduduk di Smg barat byk yg sembrono... Kemana2 byk yg ndak pakai masker... Kita boikot Penjual makanan tdk ber masker...,negative,username163,9,2020-10-03
"Jangli turun,, alhamdulillah setelah sekian lama sy diam, takut tuk lht traffic ini, Hari ini ternyata sdh tinggal 4,dr kmrin 7,,,semangat yoh,, semarang bisa, bangkit bersama melawan corona",positive,username164,0,2020-07-23
Padahal tim penyuluh nggak pernah libur masih di komplain😂,positive,username165,0,2021-02-07
Yakin tuh @username Sampangan cuman 2 ?? Di RT saya ada 26 positif min???? duh data data ???????? ,negative,username166,3,2021-06-22
Puskesmas Rowosari Tembalang kok gak ada ya?,neutral,username167,1,2021-01-11
Apakah lansia jg mendapatkan vaksin Sinovac atau yg lain?,neutral,username168,0,2021-03-04
"Udh lama bgt ga ksna,,,,, tahun brp ya,,,,,",neutral,username169,0,2021-06-19
Naik lagi.........,neutral,username170,0,2021-05-05
Naik terus,neutral,username171,0,2021-04-20
Pak Babin rapid gak itu😂,neutral,username172,0,2021-02-13
"Min SemBar tu kluster apa ya, kok tinggi terus bbrp hari ini?",neutral,username173,3,2020-09-08
Kalau ditolak oleh rumah sakit rujukan terus gimana min? Ada solusinya?,neutral,username174,2,2020-12-30
"Ungaran dkk nya mana ya,",neutral,username175,0,2021-06-14
Jare ono data ganda kae wingi retine nek fp rasika semarang. Mbuhtenan po ora lueh aku toh kan andelane protokol kesehatan tapi nyatane yo iso tembus duwur jeh an iki ki efek perubahan musim udan wae marak e mriang slemenget pilek watuk. po meneh sing kerjone nek lapangan kepapar hujan adem bleduk panas dll,neutral,username176,0,2020-12-03
Alhamdulillah..Alhamdulillah ya Allah. Semoga turun truz smpe 0 kasus segera hilang lh dari Bumi ini. Biar bs aktifitas seperti biasa 😇 Aamiin,positive,username177,1,2020-08-21
Yuk di rumah saja ❤️,positive,username178,0,2021-02-12
"Harusnya ibu rumah tangga prioritas, mereka tiap hari ke pasar ketemu orang banyak",neutral,username179,0,2021-03-09
"Adik saya sakit panas,batuk,pilek sdh 3 hari,disuruh test pcr gak mau,cuma berobat ke dokter rujukan bpjs saja,saya takut klo dia kena covid,ibu saya malah belain dia paling cuma masuk angin,kecapekan..terus nak gitu gmn coba...???? posisi saya tidak serumah dengan mereka..yg saya heran knp doktrrnya gak nyuruh buat swab test ya..cuma dikasih obat saja,",negative,username180,2,2021-06-18
Alhamdulillah farros,positive,username181,0,2020-09-03
Berita pasar karang ayu r,neutral,username182,0,2020-06-07
Alhamdulillah mugo2 wulan poso Kota Smg 0,positive,username183,0,2021-03-12
Penggaron lor juga perlu edukasi..jarang ada petugas kesana..blm pernah liat malah..😕,negative,username184,0,2020-07-09
👍,positive,username185,0,2020-11-09
"Min ini kok ga ada sampokong? Drive thru balai kota sama aja?,",negative,username186,0,2021-06-11
"Ayo pak @username adakan lagi pembinaan dan razia masker serta batasi kerumunan di mall tempat rekreasi dll pokoknya jalankan lagi razia prokes,",neutral,username187,3,2021-06-05
Perlu rapid test di pasar karangayu,negative,username188,0,2020-08-30
data hari rabu mana min?,neutral,username189,0,2021-03-04
Saya sudah terdaftar tapi masih menunggu jadwal vaksin...masih lama ya dapat giliran vaksinya....usia saya 55thn,neutral,username190,0,2021-03-11
daerah saya ad anggota tni yg pulang dari jkt ...apakah dia termasuk ODP pak,neutral,username191,0,2020-03-29
"kecamatan tembalang masyarakate sing ndablek opo camate sing rak iso ngatur, opo 22ne ndablek? kok puarah banget ngono si,",negative,username192,4,2021-06-09
Semarang barat msh rekor...Manyaran kog ngeri...,negative,username193,1,2020-10-05
Turun terus👍👍👍...semoga semua dalam keadaan sehat🙏,positive,username194,0,2020-09-22
Hilih,negative,username195,0,2020-11-23
Ngaliyan sangare. Mak bedunduk langsung rekor. Ngono yo do rak wedi py.....,negative,username196,1,2020-08-10
Hadirrr😍👏,positive,username197,2,2021-04-13
"Mohon infonya min, vaksin di heading Gradhika Jl. Pahlawan itu untuk usia berapa, mahasiswa boleh nggak min. Terimakasih infonya.,",neutral,username198,0,2021-06-10
Munculkan girlband minkes..🙌🙌,neutral,username199,1,2021-03-23
Alhamdulillah turun lagi..yok habis yookkk...,positive,username200,3,2020-07-18
Yoook semarang bisa yook terbebas dari Covid19.. Tetap jaga prokes dan jaga kesehatan semua warga semarang 🤩,positive,username201,2,2021-01-26
"Saking banyak nya provokator jadi banyak masyarakat tidak percaya copit. Coba lihat di akun2 lain. Miris. ??,",negative,username202,2,2021-06-13
"Semangat perketat prokes masing2??,",positive,username203,0,2021-06-15
"Melihat ini, ada indikasi sekolah onlen lagi di 2021/2022??.,",negative,username204,0,2021-06-12
❤️❤️❤️❤️,positive,username205,0,2020-03-16
Kok tambah akeh???,negative,username206,0,2020-12-27
"Terima kasih atas jerih payah tenaga medis, kami warga selalu patuh untuk stayhome n menjalankan protokol covid-19, tapi kami juga butuh kerja dan kami tetap kerja untuk mencukupi kebutuhan hidup kami, mohon maaf kami keluar rumah karena ini menyangkut hajat hidup kami. Kami berjanji akan selalu mengikuti prosedur covid-19. Karena bagi kami yg berbahaya bukan hanya Covid tetapi juga dampak ekonomi yg kita tidak tau kapan bencana ini akan berakhir.. karena SPT kita tau belum ditemukannya Covid. Terima ksh",positive,username207,1,2020-05-18
🙏🙏🙏,positive,username208,0,2020-12-19
"akang covid, kalau saya bilang turun.. turun yaa.",negative,username209,0,2020-07-28
"hari ini luar biasa puanasss...mumet,ini karna cuaca yang panas apa gara2 isu2 yg lg panas 🤭🤭",neutral,username210,0,2020-10-14
Alhamdulillah Turun lg.....Kel Banyumanik kok 7 ayo sadar2 3 M ......👍🤲🤲,positive,username211,0,2021-02-08
"Koq naek lg😢😢😪,tlg donk msyrkt smrg.....patuhi protokol kshtn🙏",negative,username212,0,2020-08-09
Warga Semarang ayo kita saling menjaga. Selalu pakai masker karena maskermu melindungiku masker ku melindungi mu. Kita jaga jarak bukan karena tidak suka tapi untuk saling menjaga. Semarang hebat Semarang bisa bersama melawan corona,positive,username213,1,2020-06-08
Alhamdulillah😍...semangatt SEHAT 🔥💪,positive,username214,0,2021-02-28
"Sedih lah, tahun lalu udah gak mudik tahun ini dilarang mudik alasannya mencegah penyebaran tapi pemerintah membiarkan kerumunan, orang berjubel beli baju dibiarkan saja.....ngloroke ati thok, kae delok tlogosari yen bengi ruwet",negative,username215,0,2021-05-10
"alhamdulillah , smoga lebaran nanti udah bersih ....Aamiin aamiin ya robbal alamiin",positive,username216,0,2021-03-19
Ngerii nambah terus lurr,negative,username217,0,2020-11-30
Semoga mereka yg sakit sembuh dan sehat seperti semula... Untuk Nakes terus berjuang....kuat dan bahagia...,positive,username218,0,2020-11-08
"Biyuh2... @username oh tembalang...,",negative,username219,0,2021-06-17
Srondol wetan sblh endi omhe???,neutral,username220,1,2021-01-14
"Ga ada pilihan jamnya min, jd kita harus nunggu jadwal vaksinnya kapan ga jelas, kenapa ga kayak bumn, lewat tiket.com daftarnya, langsung bs pilih jam dan hari,",negative,username221,0,2021-06-14
"Semoga setiap harinya bisa menurun lagi, walaupun sedikit . Tapi pasti bisa semarang kembali baik lagi 😊👍",positive,username222,0,2020-06-25
"min min, semarang timurmu typo",negative,username223,0,2020-08-15
Assalammualaikum wr.wb.pagi bp/ ibu pegawai dinkes kota semarang.Maaf hanya menginfokan saja di wilayah tempat tinggal bugi khususnya di pasar regol bugangan sampai detik ini baik penjual dan pedagang atau hanya sekedar lewat saja masih ada yang dablek tidak pakai masker.Mohon bantuannya bapak / ibu petugas gugus covid -19 di pasar regol bugangan di perketat lagi pengawasannya dan bagi siapa saja yg lewat di pasar regol bugangan bila tdk mematuhi protokol kesehatan klo pembeli suruh menyapu atau pusap sedangkan pedagang toko / pedagang yg diemperan jalan juga di pertegas.Soalnya klo ada petugas mereka baru pakai masker klo tidak ada petugas yg berkwliling pasar regol banyak yang tidak pakai masker.Pasar regol bugangan jam 04.30 sudah ada pembeli dan pedagang dan ramai-2 sekitar jam 06.00 -09.00 wib.Soalnya di wilayah pasar regol bugangan belum ada swab massal dan mohon dadakan agar supaya pedagang/ pembeli tidak tahu klo ada swab massal di wilyh pasar regol bugangan.Bugi usul begini karena di data dinkes kota semarang kelurahan kok ada data 1 orang positif covid -19.Dan bugi juga takut masalahnya dilah natalia juga punya penyakit lupus dm dan sejak ada covid -19 jarang keluar rumah.Demikian keterangan yg bugi sampaikan kepada dinkes kota semarang.Saat ini kondisi tubuh dilah sehat walafiat terus dan kontrol rutin terus tiap bulan di rs kariadi.Wassalammualaikum wr.wb.Makasih💪💪💪💪💪,negative,username224,4,2020-06-18
"Naik turun, naik turun...kayak yoyo",negative,username225,0,2020-08-24
Alhamdulilah mulai bergerak turun#ayokita,positive,username226,0,2021-02-10
Admin @username bisa minta file ai/cdr.nya buat kami cetak untuk kampung siaga candi hebat???,neutral,username227,0,2020-09-10
Semarang bisa pasti bisa harus bisa,positive,username228,1,2020-08-20
Adalagi kapan min,neutral,username229,0,2020-09-19
Yg Wonosari satu keluarga lima orang tetangga ku positif covid 19,neutral,username230,0,2021-05-11
wong kok do jembret2 .ndeso,negative,username231,0,2020-08-23
